cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:0.9848, Accuracy:0.8724, F1:0.8555, Precision:0.9737, Recall:0.7629                || Val - Loss:0.5069, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:100
Best reults | Val Loss: 0.6223, Epoch: 26 | Acc: 0.9750, f1-score: 0.9744, Precision: 0.9500, Recall: 1.0000

Training on fold 2
asformer

>>> Training

Train - Loss:2.3293, Accuracy:0.4388, F1:0.4444, Precision:0.4490, Recall:0.4400                || Val - Loss:1.1943, Accuracy:0.6000, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:1.9017, Accuracy:0.4592, F1:0.5093, Precision:0.4741, Recall:0.5500                || Val - Loss:1.0790, Accuracy:0.6250, F1:0.1176, Precision:1.0000, Recall:0.0625 Epoch:2
Best F1 model updated:  tensor(0.1176, device='cuda:0')
Train - Loss:1.8041, Accuracy:0.5510, F1:0.5319, Precision:0.5682, Recall:0.5000                || Val - Loss:0.9579, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:3
Best F1 model updated:  tensor(0.9697, device='cuda:0')
Train - Loss:1.6979, Accuracy:0.6633, F1:0.6598, Precision:0.6809, Recall:0.6400                || Val - Loss:0.4604, Accuracy:0.9500, F1:0.9333, Precision:1.0000, Recall:0.8750 Epoch:4
Train - Loss:1.6628, Accuracy:0.7551, F1:0.7551, Precision:0.7708, Recall:0.7400                || Val - Loss:0.4218, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:5
Best F1 model updated:  tensor(1., device='cuda:0')
Train - Loss:1.5335, Accuracy:0.7806, F1:0.8000, Precision:0.7478, Recall:0.8600                || Val - Loss:0.6426, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:6
Train - Loss:1.5214, Accuracy:0.7653, F1:0.7579, Precision:0.8000, Recall:0.7200                || Val - Loss:0.3165, Accuracy:0.9750, F1:0.9677, Precision:1.0000, Recall:0.9375 Epoch:7
Train - Loss:1.3208, Accuracy:0.7857, F1:0.7900, Precision:0.7900, Recall:0.7900                || Val - Loss:0.2738, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:8
Train - Loss:1.3151, Accuracy:0.7806, F1:0.7795, Precision:0.8000, Recall:0.7600                || Val - Loss:0.3039, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:9
Train - Loss:1.2670, Accuracy:0.8112, F1:0.8195, Precision:0.8000, Recall:0.8400                || Val - Loss:0.4432, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:10
Train - Loss:1.5391, Accuracy:0.7449, F1:0.7312, Precision:0.7907, Recall:0.6800                || Val - Loss:0.4831, Accuracy:0.9500, F1:0.9333, Precision:1.0000, Recall:0.8750 Epoch:11
Train - Loss:1.3951, Accuracy:0.8112, F1:0.8083, Precision:0.8387, Recall:0.7800                || Val - Loss:0.5338, Accuracy:0.9500, F1:0.9412, Precision:0.8889, Recall:1.0000 Epoch:12
Train - Loss:1.1650, Accuracy:0.8469, F1:0.8558, Precision:0.8241, Recall:0.8900                || Val - Loss:0.2331, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:13
Train - Loss:1.4590, Accuracy:0.7551, F1:0.7857, Precision:0.7097, Recall:0.8800                || Val - Loss:0.4053, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:14
Train - Loss:1.1366, Accuracy:0.8163, F1:0.8022, Precision:0.8902, Recall:0.7300                || Val - Loss:0.2165, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:15
Train - Loss:1.1173, Accuracy:0.8469, F1:0.8333, Precision:0.9375, Recall:0.7500                || Val - Loss:0.2530, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:16
Train - Loss:1.2223, Accuracy:0.7959, F1:0.8000, Precision:0.8000, Recall:0.8000                || Val - Loss:0.2465, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:17
Train - Loss:1.2076, Accuracy:0.8418, F1:0.8531, Precision:0.8108, Recall:0.9000                || Val - Loss:0.2385, Accuracy:0.9750, F1:0.9677, Precision:1.0000, Recall:0.9375 Epoch:18
Train - Loss:1.2446, Accuracy:0.8214, F1:0.8241, Precision:0.8283, Recall:0.8200                || Val - Loss:0.2931, Accuracy:0.9500, F1:0.9412, Precision:0.8889, Recall:1.0000 Epoch:19
Train - Loss:1.2359, Accuracy:0.8061, F1:0.8257, Precision:0.7627, Recall:0.9000                || Val - Loss:0.4694, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:20
Train - Loss:1.2135, Accuracy:0.8214, F1:0.8416, Precision:0.7686, Recall:0.9300                || Val - Loss:0.2977, Accuracy:0.9500, F1:0.9333, Precision:1.0000, Recall:0.8750 Epoch:21
Train - Loss:1.3652, Accuracy:0.7704, F1:0.7692, Precision:0.7895, Recall:0.7500                || Val - Loss:0.2611, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:22
Train - Loss:1.2127, Accuracy:0.8112, F1:0.8279, Precision:0.7739, Recall:0.8900                || Val - Loss:0.2535, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:23
Train - Loss:0.9124, Accuracy:0.8571, F1:0.8600, Precision:0.8600, Recall:0.8600                || Val - Loss:0.3003, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:24
Train - Loss:1.2889, Accuracy:0.7857, F1:0.7766, Precision:0.8295, Recall:0.7300                || Val - Loss:0.4022, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:25
Train - Loss:1.1808, Accuracy:0.8214, F1:0.8416, Precision:0.7686, Recall:0.9300                || Val - Loss:0.4880, Accuracy:0.9750, F1:0.9697, Precision:0.9412, Recall:1.0000 Epoch:26
